Studio,Category,Original criterion,Simplified requirement,Nestlé/WPP responsibility,Current status,Evidence,Missing requirement,Next action,Owner,Dependency,Target date
Japan,Production Excellence,Is creative work built on and reviewed based on brand fundamendals and campaign masters?,Brand fundamentals and campaign masters embedded in creative work,WPP,Fulfilled,Status workbook: For Updating — CreativeX and others,None identified in scorecard,Creative and operational quality checks should be embedded,WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Production Excellence,Does the Content Studio use Nestlé-provided licenses in asset production?,Access to and use of the Nestlé tool stack,WPP,Not fulfilled,Not provided,Access to and use of the Nestlé tool stack,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Japan,Production Excellence,"Do all boosted assets go through CX, with only 100% scored assets turned over?",CreativeX access and compliant use,WPP,Fulfilled,Status workbook: For Updating — CreativeX and others,None identified in scorecard,Creative and operational quality checks should be embedded,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open,Not provided
Japan,Production Excellence,"Does the Studio use Talkwalker or any WPP tool to gather audience, search, social, CRM, performance or trends?",Talkwalker or equivalent audience and trend intelligence,WPP,Fulfilled,Status workbook: Done — Talkwalker & Sprinkler (8/6),None identified in scorecard,Social listening and trend inputs should support planning where relevant,Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open; Embedded analyst or insight capability: Fulfilled,Not provided
Japan,Production Excellence,Are final assets uploaded to ContentHub and tagged correctly on a regular basis?,"ContentHub onboarding, upload and tagging discipline",WPP,Fulfilled,Status workbook: Done — Uploading to assets to the Content Hub for 2026 Q1 is completed. (8/6),None identified in scorecard,Content Hub or equivalent should be actively used and structured,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Open,2026-07-10
Japan,Production Excellence,"Are AI Tools like WPP Open used to imrpve workflow, analysis and planning; Nestlé-compliant AI tools (Firefly) are used for adaptation and craft?",Compliant AI access and practical workflow use,WPP,Fulfilled,Status workbook: On-Going — Adobe Firefly base + custom model for Kitkat (8/6),None identified in scorecard,"AI should be used where it improves speed, adaptation, or analysis",Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open,Not provided
Japan,Production Excellence,Does the Studio utilize Nestlé licenses for Adobe Creative Cloud?,Adobe Creative Cloud access and production use,WPP,Not fulfilled,Status workbook: Done — Adaptation is mostly Nescafe heavy done by NBS Manila managed by our Offshore PM in JP. (8/6),Adobe Creative Cloud access and production use,Localization technology is already one of Japan’s stronger areas,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open; Dedicated internal or external production capability: Open,Not provided
Japan,Production Excellence,Is content planned for multiplicity?,Multiplicity embedded in briefing and content planning,WPP,Not fulfilled,"Status workbook: Not Applicable — We create content with ""fit for platform & fit for funnel"" in mind. However, we have not yet reached the stage of developing content from scratch with a true multiplicity-first approach. (8/6)",Multiplicity embedded in briefing and content planning,Content should be planned for re expression from the beginning,WPP,"Source dependency: Not provided · Rule-based prerequisites: Complete briefs with sufficient lead time and timely challenge: Open; Media, CRM and performance collaboration embedded in planning: Open",Not provided
Japan,Category Expertise,"Are media, CRM and performance insights embeded into content planning, timelines and content optimization?","Media, CRM and performance collaboration embedded in planning",WPP,Not fulfilled,"Status workbook: On-Going — 1. Dentsu is media agency. As Nestlé manages the briefing process separately for the Creative Agency, Media Agency, and Content Studio, there have historically been challenges in ensuring seamless communication and alignment across the three parties. 2. For KitKat, this has improved significantly since Q2 2026. The Creative Agency, Media Agency, and Content Studio now regularly participate together in media briefings and proposal discussions, enabling more timely info sharing and stronger cross-functional collaboration. 3. For both Nescafé and KitKat, post-campaign reports are now shared on a regular basis. There is an opportunity to establish a more structured process for deeper discussions around the implications of campaign performance and for applying those learnings to future campaigns. This would further strengthen the connection between media planning and content development. (8/6)","Media, CRM and performance collaboration embedded in planning","Media, CRM, and data stakeholders actively feed learning into planning",Shared,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Japan,Category Expertise,Are incorrect briefs redirected to NBS or other content partners?,Correct brief routing and redirection,WPP,Fulfilled,"Status workbook: On-Going — 1. For KitKat, as both the brand and Content Studio responsibilities are managed by WPP Japan, there have been cases where members of the Business Group were unsure whether to approach the Brand team or Content Studio, and reached out to WPP Japan without clearly specifying the intended recipient or owner of the request (e.g., the ICON 2026 Key Visual production). 2. In such cases, we align with both the Business Group and DCD simultaneously and ask Nestlé to make the final decision on the appropriate ownership. 3. Additionally, during a recent client meeting, a question was raised regarding whether digital OOH advertising assets for Direct Retail Media should fall under the Brand scope or Content Studio scope. This is currently being clarified within Nestlé. (8/6)",None identified in scorecard,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Fulfilled; Consistent shared workflow and approval process: Open,Not provided
Japan,Category Expertise,Does the Studio work with NBS?,Defined collaboration with AOR and NBS,WPP,Fulfilled,"Status workbook: On-Going — 1. For KitKat, as both the brand and Content Studio responsibilities are managed by WPP Japan, there have been cases where members of the Business Group were unsure whether to approach the Brand team or Content Studio, and reached out to WPP Japan without clearly specifying the intended recipient or owner of the request (e.g., the ICON 2026 Key Visual production). 2. In such cases, we align with both the Business Group and DCD simultaneously and ask Nestlé to make the final decision on the appropriate ownership. 3. Additionally, during a recent client meeting, a question was raised regarding whether digital OOH advertising assets for Direct Retail Media should fall under the Brand scope or Content Studio scope. This is currently being clarified within Nestlé. (8/6)",None identified in scorecard,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Japan,Category Expertise,Does the Studio work with AOR?,Defined collaboration with AOR and NBS,WPP,Not fulfilled,"Status workbook: On-Going — 1. For KitKat, as both the brand and Content Studio responsibilities are managed by WPP Japan, there have been cases where members of the Business Group were unsure whether to approach the Brand team or Content Studio, and reached out to WPP Japan without clearly specifying the intended recipient or owner of the request (e.g., the ICON 2026 Key Visual production). 2. In such cases, we align with both the Business Group and DCD simultaneously and ask Nestlé to make the final decision on the appropriate ownership. 3. Additionally, during a recent client meeting, a question was raised regarding whether digital OOH advertising assets for Direct Retail Media should fall under the Brand scope or Content Studio scope. This is currently being clarified within Nestlé. (8/6)",Defined collaboration with AOR and NBS,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Japan,Category Expertise,Is brand knowledge updated based on industry and brand movements?,"Current brand, audience and category knowledge",WPP,Fulfilled,"Status workbook: Done — Content Studio is run by local Japanese talents, so there shouldnt be much of a doubt on local context. Howvere when any trend, context is utilised its backed by reports or data shared accordingly. (8/6)",None identified in scorecard,Content should reflect local context and audience relevance,WPP with Nestlé market input,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled,Not provided
Japan,Category Expertise,Does the studio have a dedicated external or inhouse production or capability?,Dedicated internal or external production capability,WPP,Not fulfilled,Status workbook: On-Going — Same as line 25 (8/6),Dedicated internal or external production capability,Production should be governed intentionally with clear QC and ownership,WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Commercial documents issued to agreed timelines: Fulfilled; Dedicated WPP production leadership: Fulfilled,Not provided
Japan,Category Expertise,Does the Studio utilize brand audience and segmentation in Content Planning?,Audience and segmentation applied to content planning,WPP,Fulfilled,Status workbook: On-Going — Activated manually (not via OPEN) (8/6),None identified in scorecard,Audience and segmentation should shape planning and optimization,Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Japan,Category Expertise,Does the Studio utilize community and social signals used in Content Planning?,Community and social signals applied to content planning,WPP,Fulfilled,Status workbook: Done — Team has kickstarted a recurring Trend Report now. (8/6),None identified in scorecard,Community and social signals should inform content planning where relevant,Shared,Source dependency: Not provided · Rule-based prerequisites: Embedded analyst or insight capability: Fulfilled; Talkwalker or equivalent audience and trend intelligence: Open,Not provided
MENA,Operational Excellence & Hygiene,Is there a dedicated Nestlé Studio Owner/Manager?,Dedicated Nestlé studio owner or manager,Nestlé,Fulfilled,Status workbook: Done — Yousra El Meheiry is our day to day Studio owner,None identified in scorecard,Dedicated Nestlé studio owner with clear authority across brands and operations,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Is there a Senior Nestlé Sponsor?,Active senior Nestlé sponsorship,Nestlé,Fulfilled,"Status workbook: On-Going — Luca; however, needs more firm understanding and support of Content Studios. For meeting/discussion/onboarding supported/pushed by Global",None identified in scorecard,Senior Nestlé sponsor actively backing the model,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Are KPIs aligned and cascaded and agreed on?,Aligned and cascaded KPIs,Nestlé,Fulfilled,This is an area where we would like to see actual examples in order to assess needed actions and stakeholders,None identified in scorecard,KPIs should be agreed upfront and linked to business or content outcomes,"Nestlé sets business priorities, WPP translates into content measures",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,"Is scope provided on an annual basis (qty, asset type)?",Clear annual scope by quantity and asset type,Nestlé,Not fulfilled,aligned on the diagnosis,Clear annual scope by quantity and asset type,Scope should explicitly support the capabilities expected from the studio,"Shared, Nestlé signs off","Source dependency: If MENA is expected to deliver culture, performance, production, and optimization, those need to be explicitly in scope and funded · Rule-based prerequisites: No rule-based prerequisite mapped",Not provided
MENA,Operational Excellence & Hygiene,Are POs are issued based on agreed timelines?,Commercial documents issued to agreed timelines,Nestlé,Not fulfilled,"many delays are happening on this front. However, the biggest blocker is locking the scope ahead of time, which is preventing proper mobilization, burning the team with unplanned projects coming at the same time, that needs to be delivered, to protect the planned budget that Nestlé is not honouring based on the locked earlier model & contract",Commercial documents issued to agreed timelines,Timely POs and Scope Closing,Shared,"Source dependency: However, the biggest blocker is locking the scope ahead of time, which is preventing proper mobilization, burning the team with unplanned projects coming at the same time, that needs to be delivered, to protect the planned budget that Nestlé is not honouring based on the locked earlier model & contract Scope agreements should be completed and signed off by both parties before work is begun · Rule-based prerequisites: Clear annual scope by quantity and asset type: Open",Not provided
MENA,Operational Excellence & Hygiene,Are asset and talent usage rights cascaded to the Content Studio?,"Legal, rights, talent and versioning requirements cascaded and followed",Nestlé,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Are Brand Stakeholders involved in Content Planning?,Brand stakeholders involved in content planning,Nestlé,Fulfilled,"This section needs to be clearly addressed through a call, to better give our input, as major mishaps mentioned here, come from the Client side specicfically the lack of planning and lack clarity on the overall budget, making the studio work in constant adaptation mode (Planning & re-planning based on budgets, deadlines,. lack of preplanning, last-minute briefing)",None identified in scorecard,Clear brand contacts per scope with planning accountability,Nestlé,"Source dependency: lack of preplanning, last-minute briefing) Need to make sure brand contacts are not only approval points, but active planning partners · Rule-based prerequisites: No rule-based prerequisite mapped",Not provided
MENA,Operational Excellence & Hygiene,"Do briefs provide enough lead time to ideate and produce, and are complete (key message, asset bank, target audience)?",Complete briefs with sufficient lead time and timely challenge,Nestlé,Not fulfilled,"Workflow and approvals are still weak, which suggests intake discipline needs improvement",Complete briefs with sufficient lead time and timely challenge,"Briefs should be complete, routed through one path, and quality checked","Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Does the Nestlé Studio Manager/Owner meet with the Studio Lead on a monthly and/or quarterly basis?,Regular leadership and brand governance cadence,Nestlé,Not fulfilled,"Governance likely exists, but needs to become more decision oriented and tied to scope, commercials, and capability build",Regular leadership and brand governance cadence,"Weekly or biweekly working sessions, monthly ops, quarterly strategic reviews",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
MENA,Operational Excellence & Hygiene,Are Brand Governance meetings in place with the Content Studio?,Regular leadership and brand governance cadence,Nestlé,Fulfilled,"Governance likely exists, but needs to become more decision oriented and tied to scope, commercials, and capability build",None identified in scorecard,"Weekly or biweekly working sessions, monthly ops, quarterly strategic reviews",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
MENA,Operational Excellence & Hygiene,Is a shared workflow tool used consistently?,Consistent shared workflow and approval process,Nestlé,Not fulfilled,This is still underdeveloped and a key operational weakness,Consistent shared workflow and approval process,"Clear approvals route and operating flow between Nestlé, WPP, and scale partners",Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Open,Not provided
MENA,Operational Excellence & Hygiene,Does the Nestlé utilize BrandShare?,Consistent BrandShare adoption,Nestlé,Not fulfilled,"need to have more clarity here - client is not aware of the tool - Also, we need more visibility on the investment needed",Consistent BrandShare adoption,BrandShare should be implemented and used consistently as source of truth,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Open,Not provided
MENA,Strategic Thinking,Are fire briefs cascaded to the Content Studio?,Complete briefs with sufficient lead time and timely challenge,Nestlé,Fulfilled,"Workflow and approvals are still weak, which suggests intake discipline needs improvement",None identified in scorecard,"Briefs should be complete, routed through one path, and quality checked","Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Strategic Thinking,"Is there one shared dashboard to measure asset quantity, creative quality, speed and effectiveness?",Shared operational and effectiveness dashboard,Nestlé,Not fulfilled,need to have more clarity here - as mentioned above,Shared operational and effectiveness dashboard,One agreed dashboard for operational and performance review,Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
MENA,Strategic Thinking,"Are Campaign Strategies cascaded to the Studio, or is the Studio given the opportunity to Strategize content planning?",Campaign strategy embedded in content planning,Nestlé,Fulfilled,"Status workbook: On-Going — Existing, most briefs already include a strategic-level request",None identified in scorecard,Dedicated content strategy capability embedded in the studio,WPP,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Complete briefs with sufficient lead time and timely challenge: Open,Not provided
MENA,Production Excellence,Are previous learnings and insights shared during briefs?,"Prior learnings applied to briefs, planning and optimization",Nestlé,Fulfilled,MENA needs stronger use of measurement and audience input to close the loop,None identified in scorecard,"Pre, in, and post campaign learning cycle should exist",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Shared operational and effectiveness dashboard: Open; Embedded analyst or insight capability: Fulfilled,Not provided
MENA,Production Excellence,Are brand creative mandatories and campaign masters cascaded to the Content Studio?,Brand fundamentals and campaign masters embedded in creative work,Nestlé,Fulfilled,Needs stronger embedded quality governance if MENA is to mature further,None identified in scorecard,Creative quality and operational quality should be monitored with clear checks,WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Production Excellence,Has the Studio been provided access to the Nestlé toolstack?,Access to and use of the Nestlé tool stack,Nestlé,Not fulfilled,Not provided,Access to and use of the Nestlé tool stack,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Production Excellence,Does the Studio have access to CreativeX across all serviced brands?,CreativeX access and compliant use,Nestlé,Fulfilled,Needs stronger embedded quality governance if MENA is to mature further,None identified in scorecard,Creative quality and operational quality should be monitored with clear checks,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open,Not provided
MENA,Production Excellence,Has the Studio been provided access to TalkWalker?,Talkwalker or equivalent audience and trend intelligence,Nestlé,Not fulfilled,this is driven by the scopes nature- we barely have always on scopes.,Talkwalker or equivalent audience and trend intelligence,Trend inputs should be accessible and converted into content action,Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open; Embedded analyst or insight capability: Fulfilled,Not provided
MENA,Production Excellence,"Has the Studio been onboarded on ContentHub, and are upload approvals done in a timely manner?","ContentHub onboarding, upload and tagging discipline",Nestlé,Fulfilled,this is taking place,None identified in scorecard,Content Hub or equivalent should be actively used,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Open,Not provided
MENA,Production Excellence,"Has the Studio been provided access to Nestlé AI tools (Firefly, Getty)?",Compliant AI access and practical workflow use,Nestlé,Fulfilled,Status workbook: On-Going — can you please clarify this point?,None identified in scorecard,AI should be applied in practical and scalable ways,Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open,Not provided
MENA,Production Excellence,Have the Studio creatives been provided Nestlé licenses for Adobe Creative Cloud?,Adobe Creative Cloud access and production use,Nestlé,Not fulfilled,what is the optimal tool stack?,Adobe Creative Cloud access and production use,Localization technology should support efficient adaptation and production,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Open; Dedicated internal or external production capability: Fulfilled,Not provided
MENA,Production Excellence,"Is multiplicity embedded in brief requirements, and supported by Media placements?",Multiplicity embedded in briefing and content planning,Nestlé,Fulfilled,what are the parameters being measured?,None identified in scorecard,Content should be designed for re expression from the start,WPP,"Source dependency: Not provided · Rule-based prerequisites: Complete briefs with sufficient lead time and timely challenge: Open; Media, CRM and performance collaboration embedded in planning: Open",Not provided
MENA,Category Expertise,"Has the Media, CRM and Performance Agencies been endorsed to the Content Studio for collaboration efforts?","Media, CRM and performance collaboration embedded in planning",Nestlé,Not fulfilled,This is an area where we would like to see actual examples in order to assess needed actions and stakeholders,"Media, CRM and performance collaboration embedded in planning",Clear media and performance partners feeding learning into content,Shared,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled; Regular leadership and brand governance cadence: Open,Not provided
MENA,Category Expertise,Are the correct briefs cascaded to the Content Studio?,Correct brief routing and redirection,Nestlé,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Open; Consistent shared workflow and approval process: Open,Not provided
MENA,Category Expertise,Has the Studio been endorsed to AOR and NBS?,Defined collaboration with AOR and NBS,Nestlé,Fulfilled,Needs clearer integration if production is split across teams or markets,None identified in scorecard,"Clear role between studio, production teams, and any offshore or scale support",Shared,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Open,Not provided
MENA,Category Expertise,"Has the Studio been properly onboarded on the Brand/s (including but not limited to audience/s, product/s, brand mandatories)?","Current brand, audience and category knowledge",Nestlé,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled,Not provided
MENA,Operational Excellence & Hygiene,Is there a senior WPP Studio Lead?,Senior WPP studio leadership,WPP,Fulfilled,Status workbook: Done — Mariella (Client Relationship; senior sponsorship) and Iman (Studio Lead),None identified in scorecard,"WPP studio lead with enough seniority to drive strategy, workflow, capability building, and stakeholder management",WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Is there a WPP Creative Lead?,Dedicated WPP creative leadership,WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,"Is there a Creator, Community, or Adaptive Content Specialist?","Creator, community or adaptive-content specialist coverage",WPP,Not fulfilled,Not provided,"Creator, community or adaptive-content specialist coverage",Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Open,Not provided
MENA,Operational Excellence & Hygiene,Is there a WPP Production Lead?,Dedicated WPP production leadership,WPP,Fulfilled,"Status workbook: On-Going — This effort is ongoing, but it is subject to scope evolution and proper visibility on jobs that require production",None identified in scorecard,"Strong production owner managing workflows, quality, and external partner integration",WPP,"Source dependency: This effort is ongoing, but it is subject to scope evolution and proper visibility on jobs that require production Production capability is present, but needs to be systemized more clearly if MENA is to scale with consistency · Rule-based prerequisites: Clear annual scope by quantity and asset type: Open; Commercial documents issued to agreed timelines: Open",Not provided
MENA,Operational Excellence & Hygiene,Are KPIs aligned and cascaded and agreed on?,Aligned and cascaded KPIs,WPP,Fulfilled,This is an area where we would like to see actual examples in order to assess needed actions and stakeholders,None identified in scorecard,KPIs should be agreed upfront and linked to business or content outcomes,"Nestlé sets business priorities, WPP translates into content measures",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Is the Content Studio team built to fulfill scope?,Team capability aligned to approved scope,WPP,Fulfilled,aligned on the diagnosis,None identified in scorecard,No capability should be expected unless it is actually scoped,Shared,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Open; Commercial documents issued to agreed timelines: Open,Not provided
MENA,Operational Excellence & Hygiene,Are CEs provided based on agreed timelines from date of brief?,Commercial documents issued to agreed timelines,WPP,Fulfilled,"many delays are happening on this front. However, the biggest blocker is locking the scope ahead of time, which is preventing proper mobilization, burning the team with unplanned projects coming at the same time, that needs to be delivered, to protect the planned budget that Nestlé is not honouring based on the locked earlier model & contract",None identified in scorecard,Timely POs and Scope Closing,Shared,"Source dependency: However, the biggest blocker is locking the scope ahead of time, which is preventing proper mobilization, burning the team with unplanned projects coming at the same time, that needs to be delivered, to protect the planned budget that Nestlé is not honouring based on the locked earlier model & contract Scope agreements should be completed and signed off by both parties before work is begun · Rule-based prerequisites: Clear annual scope by quantity and asset type: Open",Not provided
MENA,Operational Excellence & Hygiene,"Are legal, rights, talent and versioning cascades followed?","Legal, rights, talent and versioning requirements cascaded and followed",WPP,Fulfilled,Not provided,None identified in scorecard,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Does the Studio collaborate with Brand Stakeholders in Content Planning?,Brand stakeholders involved in content planning,WPP,Fulfilled,"This section needs to be clearly addressed through a call, to better give our input, as major mishaps mentioned here, come from the Client side specicfically the lack of planning and lack clarity on the overall budget, making the studio work in constant adaptation mode (Planning & re-planning based on budgets, deadlines,. lack of preplanning, last-minute briefing)",None identified in scorecard,Clear brand contacts per scope with planning accountability,Nestlé,"Source dependency: lack of preplanning, last-minute briefing) Need to make sure brand contacts are not only approval points, but active planning partners · Rule-based prerequisites: No rule-based prerequisite mapped",Not provided
MENA,Operational Excellence & Hygiene,Are briefs challenged and additional needed information/materials requested in a timely manner?,Complete briefs with sufficient lead time and timely challenge,WPP,Fulfilled,"Workflow and approvals are still weak, which suggests intake discipline needs improvement",None identified in scorecard,"Briefs should be complete, routed through one path, and quality checked","Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Operational Excellence & Hygiene,Does the Studio Lead meet with the Nestlé Studio Manager/Owner on a monthly and/or quarterly basis?,Regular leadership and brand governance cadence,WPP,Not fulfilled,"Governance likely exists, but needs to become more decision oriented and tied to scope, commercials, and capability build",Regular leadership and brand governance cadence,"Weekly or biweekly working sessions, monthly ops, quarterly strategic reviews",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
MENA,Operational Excellence & Hygiene,Are Brand Governance meetings in place with the Content Studio?,Regular leadership and brand governance cadence,WPP,Fulfilled,"Governance likely exists, but needs to become more decision oriented and tied to scope, commercials, and capability build",None identified in scorecard,"Weekly or biweekly working sessions, monthly ops, quarterly strategic reviews",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
MENA,Operational Excellence & Hygiene,Is a shared workflow tool used consistently?,Consistent shared workflow and approval process,WPP,Not fulfilled,This is still underdeveloped and a key operational weakness,Consistent shared workflow and approval process,"Clear approvals route and operating flow between Nestlé, WPP, and scale partners",Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Open,Not provided
MENA,Operational Excellence & Hygiene,Does the Content Studio use BrandShare?,Consistent BrandShare adoption,WPP,Not fulfilled,"need to have more clarity here - client is not aware of the tool - Also, we need more visibility on the investment needed",Consistent BrandShare adoption,BrandShare should be implemented and used consistently as source of truth,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Open,Not provided
MENA,Strategic Thinking,Is Strategy a dedicated capability in the Content Studio inherent in campaign planning?,Dedicated content strategy capability,WPP,Fulfilled,"Status workbook: On-Going — Existing, most briefs already include a strategic-level request",None identified in scorecard,Dedicated content strategy capability embedded in the studio,WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Open; Senior WPP studio leadership: Fulfilled,Not provided
MENA,Strategic Thinking,Is there an analyst or insight function within the Content Studio?,Embedded analyst or insight capability,WPP,Fulfilled,"Status workbook: On-Going — Existing, most briefs already include a strategic-level request",None identified in scorecard,f,WPP with Nestlé data support,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Open; Access to and use of the Nestlé tool stack: Open,Not provided
MENA,Strategic Thinking,"Is there one shared dashboard to measure asset quantity, creative quality, speed and effectiveness?",Shared operational and effectiveness dashboard,WPP,Not fulfilled,need to have more clarity here - as mentioned above,Shared operational and effectiveness dashboard,One agreed dashboard for operational and performance review,Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
MENA,Strategic Thinking,Is one clear Strategy embedded in Content Planning?,Campaign strategy embedded in content planning,WPP,Fulfilled,"Status workbook: On-Going — Existing, most briefs already include a strategic-level request",None identified in scorecard,Dedicated content strategy capability embedded in the studio,WPP,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Complete briefs with sufficient lead time and timely challenge: Open,Not provided
MENA,Production Excellence,Are brand learnings and campaign insights included in Strategy and Content Planning?,"Prior learnings applied to briefs, planning and optimization",WPP,Fulfilled,MENA needs stronger use of measurement and audience input to close the loop,None identified in scorecard,"Pre, in, and post campaign learning cycle should exist",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Shared operational and effectiveness dashboard: Open; Embedded analyst or insight capability: Fulfilled,Not provided
MENA,Production Excellence,Is creative work built on and reviewed based on brand fundamendals and campaign masters?,Brand fundamentals and campaign masters embedded in creative work,WPP,Fulfilled,Needs stronger embedded quality governance if MENA is to mature further,None identified in scorecard,Creative quality and operational quality should be monitored with clear checks,WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
MENA,Production Excellence,Does the Content Studio use Nestlé-provided licenses in asset production?,Access to and use of the Nestlé tool stack,WPP,Not fulfilled,Not provided,Access to and use of the Nestlé tool stack,Not provided,Not provided,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
